temperature,humidity,comfort_score
21.87,38.58,9.0
34.01,59.14,5.1
31.29,60.02,6.2
34.06,72.7,4.4
26.22,52.16,8.6
37.98,46.29,3.8
26.5,78.82,7.2
34.22,41.49,5.1
28.8,88.25,5.8
28.56,79.12,6.3
19.62,41.7,8.2
23.62,45.8,9.5
34.8,39.44,4.8
22.33,50.39,9.7
23.67,91.85,7.6
25.67,31.15,8.0
25.12,32.79,8.3
18.69,70.1,7.3
30.26,41.52,6.7
34.04,94.49,3.4
20.11,71.75,7.8
32.32,41.59,5.9
18.55,51.27,8.2
23.19,86.67,8.1
37.11,89.49,2.4
31.16,79.04,5.3
20.53,67.36,8.1
27.99,51.13,7.9
18.41,78.33,6.7
32.17,53.17,6.2
35.41,56.85,4.7
21.6,48.08,9.3
36.86,37.59,3.8
34.09,75.76,4.3
24.85,50.54,9.2
28.57,47.07,7.6
22.6,72.42,8.7
23.96,56.8,9.3
31.93,52.61,6.3
27.27,31.39,7.4
26.58,46.82,8.4
18.15,58.84,7.6
18.42,89.41,6.2
37.04,83.59,2.7
28.72,57.34,7.3
34.92,63.43,4.6
23.07,85.81,8.2
34.2,36.88,4.9
32.63,39.32,5.6
32.11,41.16,5.9
26.0,45.51,8.6
29.31,73.97,6.3
36.41,44.6,4.4
37.22,87.13,2.5
26.02,54.62,8.6
29.15,51.48,7.5
35.92,75.23,3.6
25.81,32.35,8.0
35.82,49.64,4.9
28.32,93.23,5.7
26.98,34.65,7.6
35.06,89.86,3.2
28.03,30.99,7.0
36.77,78.3,3.1
20.22,53.44,8.7
27.27,42.64,7.9
35.07,89.87,3.2
24.14,81.56,8.0
34.97,50.22,5.2
31.06,48.27,6.7
31.03,53.4,6.6
32.89,77.42,4.7
33.82,67.85,4.8
29.85,39.52,6.7
31.57,39.75,6.1
36.12,81.95,3.2
24.25,43.29,9.2
24.36,76.52,8.1
23.97,82.09,8.0
33.13,93.96,3.7
23.42,40.57,9.4
29.44,71.36,6.4
21.58,88.37,7.5
31.41,81.65,5.1
30.75,37.21,6.3
34.58,63.58,4.7
20.73,35.4,8.4
26.66,84.63,6.8
23.3,73.29,8.7
27.77,71.07,7.0
33.75,93.25,3.5
20.22,64.42,8.2
20.92,67.94,8.3
20.94,90.61,7.1
34.07,71.63,4.5
18.56,63.5,7.5
29.47,47.5,7.3
36.32,34.99,3.9
35.31,34.03,4.3
29.49,32.54,6.5
18.83,89.51,6.4
19.81,43.25,8.4
25.61,44.8,8.7
20.65,55.69,8.8
22.21,81.3,8.1
31.73,47.53,6.4
23.39,93.5,7.7
32.7,47.82,6.0
35.05,79.91,3.7
20.08,75.2,7.6
19.99,71.12,7.7
36.94,63.72,3.7
21.98,94.56,7.4
36.59,75.31,3.3
26.2,49.37,8.7
36.85,58.19,4.1
30.89,38.95,6.3
29.44,65.7,6.6
34.86,70.14,4.3
18.7,53.21,8.1
29.63,59.54,6.9
25.36,82.12,7.4
31.04,37.43,6.2
26.61,32.29,7.7
32.71,38.43,5.5
31.55,43.54,6.3
22.85,55.22,9.7
33.89,87.7,3.8
31.39,74.79,5.4
25.77,37.65,8.3
29.68,80.24,5.8
27.86,50.5,8.0
36.37,42.81,4.3
19.75,48.18,8.6
33.37,64.06,5.1
29.35,67.93,6.6
25.58,78.64,7.5
18.77,59.92,7.8
32.77,50.86,6.0
18.14,77.97,6.7
25.4,53.33,8.9
33.55,49.52,5.8
35.46,67.94,4.1
31.47,74.15,5.4
19.76,55.73,8.4
28.46,65.32,7.1
26.05,78.05,7.4
25.01,61.08,8.6
25.52,75.51,7.7
27.23,85.5,6.5
37.7,94.46,1.9
18.11,58.0,7.6
29.08,85.22,5.8
35.29,60.69,4.5
35.09,86.89,3.3
19.17,50.84,8.4
22.94,59.54,9.5
32.84,65.96,5.3
24.38,89.91,7.5
21.22,49.63,9.3
27.04,62.03,7.8
31.68,49.79,6.5
31.26,68.04,5.8
37.5,51.9,4.1
25.53,62.0,8.4
21.69,57.18,9.1
36.35,43.16,4.3
37.76,44.16,3.8
26.64,83.7,6.9
29.12,80.55,6.0
29.49,77.35,6.0
31.83,51.16,6.4
26.47,77.36,7.2
24.85,70.0,8.3
37.1,81.6,2.8
21.35,39.36,8.8
28.38,80.52,6.3
35.46,69.62,4.0
28.81,90.27,5.7
28.45,89.87,5.8
19.19,37.12,7.8
32.85,36.52,5.4
34.0,40.31,5.1
35.93,53.22,4.7
37.12,78.76,2.9
32.6,50.77,6.1
22.53,48.46,9.7
19.72,67.76,7.8
23.77,69.4,8.7
20.2,61.23,8.3
21.05,75.85,7.9
22.09,77.35,8.3
18.17,82.14,6.5
30.64,68.89,6.0
36.31,73.32,3.5
28.93,92.54,5.5
20.19,69.91,7.9
35.91,71.88,3.7
30.74,55.96,6.6
27.52,49.1,8.1
21.88,50.87,9.5
25.87,55.17,8.6
33.09,77.76,4.6
30.46,62.63,6.4
34.87,49.29,5.2
28.13,77.95,6.6
19.77,57.21,8.3
23.07,89.24,8.0
21.94,42.7,9.2
26.75,76.96,7.2
20.05,35.56,8.1
18.57,52.12,8.1
33.18,90.44,3.9
32.09,71.39,5.3
19.71,84.98,6.9
26.07,55.83,8.5
19.82,56.93,8.4
18.36,64.7,7.4
37.53,43.65,3.9
31.78,66.52,5.7
25.72,64.63,8.2
35.21,79.85,3.6
24.17,44.0,9.2
20.31,85.38,7.2
18.1,72.85,6.9
22.71,41.24,9.4
34.24,59.31,5.0
30.21,75.59,5.8
25.46,47.12,8.9
31.7,85.33,4.8
18.07,89.89,6.0
21.75,40.35,9.0
33.37,73.95,4.7
20.34,93.85,6.7
20.11,73.17,7.7
34.56,62.42,4.8
32.47,69.21,5.3
28.98,54.54,7.4
35.12,40.43,4.7
36.44,41.41,4.2
27.77,68.46,7.2
29.23,33.98,6.7
23.7,64.22,9.0
33.27,83.68,4.2
33.31,93.51,3.7
33.24,60.42,5.4
28.2,93.47,5.7
21.09,88.21,7.3
33.67,76.52,4.4
28.5,86.88,6.0
21.58,84.87,7.7
28.03,57.38,7.6
33.53,90.57,3.8
23.42,45.88,9.6
31.79,54.82,6.2
30.59,47.39,6.8
25.76,82.32,7.3
26.02,72.64,7.7
26.88,86.93,6.6
37.79,85.89,2.3
28.41,70.07,6.8
25.19,41.57,8.7
34.1,59.71,5.1
34.28,47.2,5.3
30.72,36.66,6.2
29.68,85.96,5.5
32.45,65.03,5.5
29.77,37.08,6.6
30.98,71.07,5.8
29.1,34.89,6.8
20.49,35.23,8.3
25.83,78.91,7.4
27.42,57.16,7.9
36.63,65.33,3.8
21.1,42.12,8.8
28.77,85.93,5.9
35.59,31.47,4.0
32.63,56.86,5.8
